word,hint,Scrambelled
example,e.g.,xplmaee
jealous,showing extreme cupidity,seauojl
brought,take something,btorhug
crystal,a gem,crlsyat
gunshot,the act of shooting ,hngutso
clearly,without doubt or question,llycaer
written,produce a literary work,iwnrett
custody,a state of being confined,oyudsct
weekend,Saturday and Sunday,ewdknee
flowers,cultivated for blooms ,refslow
greater,larger,raegter
intense,strong feelings,etisnne
dollars,currency,sdloalr
staying,remain in a certain state,gatnyis
learned,gain knowledge or skills,dnaeerl
picking,detach and remove,pikingc
instead,in place of,eidnsta
shelter,a structure that provides protection,hesrelt
episode,part of a series,spoeied
streets,thoroughfares,esrtest
arrived,reach a destination,rvriead
passing,dying,pgaisns
heading,going somewhere,gaiednh
reading,a book ,anerdig
enemies,not your friends,meeines
outside,where animals live,stoduie
already,again,ealyard
turning,changing direction,ngritnu
squeeze,the act of gripping ,uqszeee
appears,arrives,rpesaap
weapons,any instrument used in fighting ,ewnaops
secrets,private,stecsre
proceed,continue ,oepcred
alcohol,a liquor ,ohlocal
liberty,freedom,iylrbte
knowing,being aware,ogniwnk
singing,vocal music,gngisni
service,you tip for this,seircev
partner,buddy,tranepr
stopped,come to a halt,ppsoted
passion,a strong feeling,saispno
opinion,a personal belief ,nnpioio
network,an interconnected system ,rkenotw
degrees,a position on a scale,egseedr
glasses,optical instrument,assglse
apology,sorry,pygooal
quality,an essential and distinguishing attribute ,uyqlita
measure,use a ruler,ursaeem
talking,verbal exchange,giatlnk
watched,look attentively,dacweht
figured,judge to be probable,gfiured
warning,informing of danger,nnrawig
capital,"Berlin, London, Oslo",ilapcat
besides,anyway,eedbsis
another,various alternatives,hnratoe
towards,In the direction of something ,aotdswr
wearing,grinding something down,aneriwg
nuclear,atomic energy,nalrecu
theatre,the Abbey,aetther
goodbye,a farewell remark,ooeydbg
medical,a thorough physical examination,mdeclai
benefit,assistance,tibnefe
similar,resemblance,aimrils
session,drinking for a long period,nsioess
realise,be fully aware of,lriseae
emperor,the male ruler ,eerpmor
advance,a movement forward,edaacnv
provide,give something useful ,edviopr
keeping,minding,epnigke
replace,substitute ,acerlpe
quickly,with rapid movements,iukqlcy
letters,alphabet,tstlree
anybody,a person of some importance,abdoyny
kissing,affectionate play ,issnikg
current,a flow of electricity,nructre
article,lots in this publication,lrceait
distant,faraway,tntsadi
anymore,from now on,oaymern
alright,okay,gilrtha
million,six zeros,liimoln
divorce,dissolution of marriage,cdrovie
forgive,stop blaming ,gvfiroe
evening,the latter part of the day ,evegnin
welcome,on a mat,emwocle
pulling,move something toward you,nlulipg
weather,we talk about this a lot,reetwah
goddamn,American expletive,mddagno
fantasy,imagination unrestricted by reality,tsfyana
develop,make something new,oldpeve
records,LPs,rocdres
release,from prison,seeaerl
cleared,rid of obstructions,recldea
offense,wounding the feelings of others,esfnfoe
holiday,leisure time ,iylohad
exhales,expel air,eaxeslh
subject,study in school,bjeustc
hostage,a prisoner,gathose
beneath,under,etnaheb
brother,sibling,trohber
reminds,put in the mind of someone,emsnrid
testing,checking,tetsign
remains,something left,reansmi
dropped,let fall to the ground,edrpodp
results,at the end,eltrssu
defence,backs in football,sendefe
members,part of a club,ebremms
however,contrast,ehvewor
prepare,get ready,rrapepe
holding,retaining something,lihdnog
disease,illness,esdsiae
whistle,when a kettle boils,sewlhit
respect,deep admiration,respetc
complex,difficult to understand,olcpemx
russian,a native of a large country,nuasirs
stories,fables,rsestio
running,part of athletics,nginnru
succeed,attain success ,cesdcue
station,trains stops,sanitot
british,the people of Great Britain,sirtbhi
sweetie,pet name,wteeeis
washing,cleaning,hnasgwi
someone,a human being,enoosme
spanish,spoken in Bolivia,hasnpis
dessert,jelly and ice-cream,ertdses
panting,breathing heavily,naptngi
thunder,lightening,hedtunr
managed,achieved something,aamedgn
strange,out of the ordinary,gretnsa
quietly,with low volume,iyteluq
willing,the act of making a choice,iglliwn
propose,ask to get married,spropeo
warrior,a fighter,irrawro
concept,general idea,etoncpc
robbery,larceny,beboryr
reached,destination,hcerade
present,happening now,tenresp
killing,murder,liiglkn
uniform,clothing of distinctive design ,oiunfmr
abandon,leave,badanon
chatter,noisy talk,rttchea
largest,biggest,rageslt
airport,airplanes,ariropt
command,an authoritative direction ,admcmon
century,a period of 100 years,rcnueyt
victims,person harmed,miitsvc
payment,a sum of money ,neatpym
minutes,120 seconds is 2,esuntim
awkward,causing inconvenience,rkwdwaa
ashamed,feeling shame ,aaesdmh
forward,playing up front,rwrofda
perfect,great,etrfpec
totally,to a complete degree ,lloytta
several,a few,sreveal
earlier,before now,alrerie
general,army position,agrelne
driving,cars,niidvrg
hanging,a picture on a wall,ihgnang
eternal,forever,rlnaete
disturb,annoy,rtbuids
through,having finished,uhtrohg
amazing,affect with wonder,mzgniaa
neither,not one or the other,enethir
contest,event to select a winner,enttcos
factory,manufacturing plant,ocytfar
diamond,hard and shiny,odnamid
central,in the middle,nretalc
produce,fresh fruits and vegetables,ucorpde
chances,possibilities,accsehn
comfort,a state of being relaxed ,tmoofcr
granted,let have,tdgnaer
violent,physical force intending to hurt,nivolet
college,where you study,eolcgel
contact,close interaction,octtnac
massage,rubbing to promote relaxation,emagssa
closing,finishing,igloncs
quarter,one of four equal parts,euartrq
attempt,activity intended to do something,ttapemt
heather,plan that grow in the bog,eahterh
perform,carry out an action,rofremp
staring,looking,asnrgti
operate,run or direct,eetopar
capable,having ability,lbeaapc
murders,premeditated killings,rremsud
vampire,Dracula,pvimrae
foolish,devoid of good sense,ifooshl
gasping,breathe noisily,igangsp
stomach,tummy,hotasmc
selfish,mean,lisfhse
plastic,popular for bags,lsatcpi
sobbing,weeping,igbsbno
costume,attire worn in a play ,somucte
selling,exchange of goods for money,illesng
regular,often,eluarrg
husband,married to,dunbsah
council,a public body,uoclnci
reverse,go back,eerevsr
wailing,loud cries made while weeping,inliwga
burning,fire,nigrunb
cooking,preparing food,kgoicno
massive,huge,eivsmsa
receive,get something,ecrivee
