word	hint	Scrambelled
emotional	having feelings that are easily excited	word
Christmas	Santa comes at	htimcssar
recommend	push for something	rmemoencd
champagne	bubbles in a glass	npgmcaeah
subtitles	On foreign movies	istltsebu
happiness	What we aim for	nphsaspei
president	Biden, Trump, Bush	teenpisrd
surrender	General Custer	neurdrres
relatives	family	eviertsla
whistling	7 dwarfs did this	nsghltiwi
represent	take the place	terpernse
precisely	exactness	sliprecey
assistant	PA	isatnstsa
knowledge	information can be	lodwekegn
childhood	being a kid	cddohliho
interfere	come between 	enfrreeit
otherwise	other than as supposed or expected	eosrietwh
prisoners	in jail	resnprsoi
situation	the general state of things	stoaintiu
executive	business position	euevxetci
existence	the state or fact of existing	itexsecne
recording	copying, documenting	diocrgren
employees	colleagues	elpmseyoe
buildings	a structure	usdlnigbi
daughters	female children	sargdehut
telephone	make a call	leentehpo
attention	the process whereby a person concentrates	tneatotin
thousands	a number	uhsosandt
screaming	sharp piercing cry	simgrnaec
Hollywood	place in Wicklow and USA	ylolohodw
listening	hearing	iltenigsn
basically	in essence	ialyacsbl
apartment	a small home	mtetranpa
organised	prepared	ieoagnrds
mountains	large hills	niaosmtun
depressed	downhearted	sesderdpe
kidnapped	happened to Shergar	dppikaden
underwear	boxers	eenrwdaru
nightmare	disaster	inmetgrha
dismissed	loose your job	dissmsedi
invisible	cannot see	lsbineiiv
answering	react verbally	rewniangs
guarantee	quality assurance	egtureana
extremely	to a high degree	emleexytr
inspector	Job with PSNI or Gardai	tcrsnpieo
potential	Young players have this	tlietpaon
beautiful	lovely	lueubtafi
greetings	hello	tngsrieeg
paperwork	forms, documents etc.	rerakwpop
backwards	toward the back 	kcbadawsr
protected	shield 	dtcertope
Christian	a religious person 	siirhacnt
treatment	care provided	rmneattet
destroyed	broken	edtrysdeo
adventure	exciting undertaking	uvreanedt
insurance	expensive but required	raunncsei
favourite	a competitor thought likely to win	oraiuevtf
brilliant	of surpassing excellence	rnitblail
afternoon	part of the day	taonrnfoe
regarding	deem to be	iadgnergr
reception	the manner in which something is greeted	neceporit
suspected	imagine to be the case or true	detesucps
abandoned	forsake, leave behind	bananedod
direction	a line leading to a place or point	trinicode
valentine	a sweetheart 	nvilnatee
signature	use on official documents	gueriants
necessary	anything indispensable	nrecseays
expensive	dear	pxseiveen
miserable	very unhappy	raiseblme
decisions	making up your mind	eiincsosd
policeman	a member of a police force	aecmolinp
chuckling	laugh quietly or with restraint	lkiugchnc
authority	make decisions	yoarittuh
suffering	a state of acute pain	grsnfuife
committed	perform an act	dteicmmot
mentioned	make reference to	imnteeond
recovered	gotten better	rveecdreo
following	coming after	lliwonogf
basically	simply	lbaycisal
secretary	PA  	stcyeearr
breakfast	meal in the morning	rtakseabf
searching	looking	cegiarshn
education	Important for us all	udoanceit
transport	a train is a type of	rsprnttao
community	important to be part of this 	itmcmoyun
operation	happens in hospital	oenitpoar
candidate	a politician is one	iadctadne
strangers	does not belong	agsnrrtse
exhausted	tired	dhastxeue
seriously	Really?	yislsreou
including	have as a part	dunlcigni
explained	make plain 	npldixeea
defendant	a person in court	efdndnate
perfectly	bang on	rpytceefl
effective	having a striking effect	tvffeeeic
testimony	a solemn statement	iostytmne
currently	now	yurcnlrte
excellent	very good;	lxetnecle
different	not the same	defrtfnie
concerned	be relevant to	cnrdnceeo
sacrifice	the act of losing	fecarisci
Americans	live in USA	nsamaierc
forbidden	command against	fdrnboide
challenge	hard	helnaeclg
obviously	unmistakably	vibluyoso
traveling	moving	iarnlvgte
continues	ongoing	eunicstno
delicious	lovely	liduieosc
carefully	paying attention	relflcyau
technique	a practical method 	niehqeutc
principal	 on which interest is calculated	plicpainr
newspaper	you need these!	nrpwsepae
continued	to be …	inetcndou
honeymoon	after marriage	nhoeyonmo
recognise	Know	ecoigsner
surprised	shock	rsspiduer
condition	a state at a particular time	onnoictdi
sometimes	on certain occasions	messotemi
convinced	validity of something	ndionccve
terrified	frighten greatly	tirfridee
bothering	take the trouble	igbnretoh
structure	building	rursttuec
commander	an officer	cedrmanmo
terrorist	a radical 	retirotrs
discovery	the act of discovering something	edsivryco
cigarette	smokes	eeaitgcrt
returning	go or come back to place,	gritrnnue
computers	a machine 	moptusrce
sensitive	some people are	eneiitvss
Australia	Aboriginal tribes live here	atiarslau
witnesses	seeing something	seenwsist
questions	?'s	snoiteuqs
ambulance	hospital	uaaenbclm
ourselves	us	sersluoev
impressed	good impression	mpdseiers
companies	conduct business	apmnseioc
everybody	all of us	beyvordey
somewhere	an unknown location	reheosemw
interview	new job 	itrneewvi
wonderful	good or great 	welodnfru
centuries	100 years	tsenrcuie
beginning	start	niibegngn
influence	some people can do this	ieencufln
gentlemen	a man of refinement	etmenlgne
preparing	make ready 	iganrrppe
suggested	make a proposal,	tdegeugss
permanent	forever, always	erpnntema
literally	just like that	lrietlyal
financial	a big crisis recently	ainlcfani
intention	planned action	nntioenit
countries	nation	ocnsueitr
dangerous	 risky	runoesadg
completed	finish	eepcdlmto
radiation	nuclear	dnoritaia
recognise	know	cniseroeg
delivered	deliver (a speech, oration, or idea)	ieeddlrev
temporary	short term	maryopetr
statement	a message	tnasettem
committee	a group of people	imtmotece
resources	reserves	orercuses
shoulders	part of your body	dslohesur
celebrate	Birthdays	eetearcbl
immediate	of the present time 	iiamdtmee
available	obtainable 	baaavelli
confirmed	establish with fact	oridefcnm
wondering	a wish to know something	deowgnirn
difficult	hard	diftuilcf
ancestors	descended 	sacsnoetr
objection	protest	ijetbnooc
gentleman	a man of refinement	lemetnagn
scientist	a job	escisttni
political	Sinn Fein, DUP, etc.	ioaciltpl
creatures	a living organism	cesureart
procedure	course of action	urperoced
character	CJ, Bertie had plenty of this	arcacther
tradition	an inherited pattern 	oiidttran
Halloween	Oct 31st	eahewolnl
breathing	a requirement  	rhnebgtia
important	of great significance 	tioaprnmt
professor	Job at a university	oproersfs
desperate	in need of help	tedapsree
footsteps	the sound of someone walking	tstoposef
apologise	Sorry	gaopoesli
customers	you are one	rsectusom
confident	assurance	dotcifnen
satisfied	meet expectations	diaiestsf
someplace	in or at or to some place	aoplcemse
criminals	robbers	airnmcsil
disappear	get lost	adiappser
naturally	as might be expected	rnatlulay
hopefully	positive	hploueylf
emergency	sudden crisis	eeyegcnmr
warehouse	a big building	arsowhuee
delighted	pleased	iehdgltde
happening	an event	negaippnh
expecting	pregnant	eeigxtcnp
separated	act as a barrier	psatedare
chocolate	tastes good	lceotoach
connected	joined	decntnoec
detective	Magnum PI	teevtdice
developed	make something new	dvpodleee
interests	a sense of concern	netistrse
certainly	sure	nictraeyl
satellite	 orbits around the earth	ialstltee
meanwhile	the time between 	hnaemewli
introduce	say hello	eocndtuir
equipment	kit	nmpteeiuq
fantastic	super	aftsanitc
lightning	thunder	nglnitigh
promotion	move up the ladder	opointrom
interrupt	temporarily stops	rnutierpt
colleague	an associate	leocgluae
advantage	point in tennis	aangadetv
territory	land	rteyrroit
yesterday	 before today	rastdyeey
forgotten	stop remembering	foetrgotn
furniture	in a room	urfirneut
dehydrate	remove all water	eddeyahrt
spiritual	holy	tirpaulis
rehearsal	practice	aelahrers
overnight	sleep over	ogenhitvr
determine	establish	nedtemire
elsewhere	in or to another place	eewseelhr
practical	actual use 	irlptccaa
operating	control	ngreoatpi
apologies	sorry	ogipelsoa
corrected	make right or correct	rdctceeor
remaining	stay the same	gnenmirai
anonymous	unknown	moausyonn
continent	land mass	eionctnnt
described	portrayed	bridsedec
attracted	direct toward itself 	cdeattatr
believing	understanding	legbnievi
discussed	talked about	ssceuidsd
attacking	start warfare	iankttagc
dedicated	give entirely	adeicedtd
corporate	big business	orrpatceo
requested	 ask for	sueetreqd
surprises	astonishment 	rssirueps
cooperate	work together 	tepceooar
worthless	lacking in  value	hstserlwo
relations	family	rsnaeotli
infection	puss on a cut	inifontce
suspended	hang freely	psseuddne
volunteer	helps for free	rnuolteev
communist	USSR	miumstcon
blackmail	extortion	kblalcima
attempted	make an effort	edptemtat
gathering	a group of persons	egtranigh
institute	an association	tintiestu
therapist	a skilled person	asitrepth
residence	a house or home	esecnired
democracy	we live in one	dcmroyeca
published	we do this with our content	bhleupdsi
execution	carry out	oteeunxic
technical	difficult	chlticnae
disturbed	move deeply	rbisdduet
wandering	travelling about 	wnarigden
apologise	sorry	asgleiopo
broadcast	RTE & BBC do this	artbcados
behaviour	the action of something 	hibeorauv
performed	carry out an action	odefpremr
respected	think much of	dsreeepct
finishing	appearance of a surface 	fisignihn
affection	 feeling of liking	ictoefafn
privilege	a special advantage	vgilepire
celebrity	a widely known person	belrteiyc
defending	in defence of	fgdeniedn
suspicion	might be the case	scoiuipns
convicted	declare guilty	divncetco
confusing	mistake one thing for another	suiongfnc
generally	usually	ryeelnagl
receiving	given something	ievnrecig
reporters	Lots work for this title	rreropets
Manhattan	Part of New York City	nnhaaamtt
scheduled	plan for an activity	sehudcled
negotiate	discuss	atoneiget
reference	a remark	eceneerfr
collected	gather together	deloltecc
survivors	who lives through	oivsrvusr
fortunate	lucky	outretnfa
encounter	meeting	ectnnerou
passenger	travelling  	rsgpseena
accompany	be present 	mocypanac
spreading	distributing 	daepnrigs
hilarious	funny	hiarosuli
exclusive	lots of these with this title	eixlvsuce
confusion	disorder 	foconunsi
programme	an announcement of the events	rrmepogam
contacted	 establish communication with	ntctoacde
chemistry	the science of matter	tescimhyr
companion	a friend	poncioanm
butterfly	beautiful insect	uytrelftb
establish	set up	sebhatsli
gratitude	thankfulness	urdgieatt
exception	not the rule	itcnepxeo
essential	important  	tinelssae
magazines	publication	emzgsania
murmuring	low sounds	gmrunuirm
announced	make known	ocdnnaune
pregnancy	in utero	aepcnygnr
